% 1. Title: Tweet NLP Database
% 
% 2. Sources:
%      (a) Creator: Y. Kang and Z. Wang
%      (b) Date: Feb, 2016
@RELATION NLP_project

@ATTRIBUTE first_person_pronouns  NUMERIC
@ATTRIBUTE second_person_pronouns  NUMERIC
@ATTRIBUTE third_person_pronouns  NUMERIC
@ATTRIBUTE coordinating_conjunctions  NUMERIC
@ATTRIBUTE past_tense_verbs  NUMERIC
@ATTRIBUTE future_tense_verbs  NUMERIC
@ATTRIBUTE commas  NUMERIC
@ATTRIBUTE colons_and_semicolons  NUMERIC
@ATTRIBUTE dashes  NUMERIC
@ATTRIBUTE parentheses  NUMERIC
@ATTRIBUTE ellipses  NUMERIC
@ATTRIBUTE common_nouns  NUMERIC
@ATTRIBUTE proper_nouns  NUMERIC
@ATTRIBUTE adverbs  NUMERIC
@ATTRIBUTE wh_words  NUMERIC
@ATTRIBUTE modern_slang_acroynms  NUMERIC
@ATTRIBUTE all_upper_case_words  NUMERIC
@ATTRIBUTE avg_sentence_len NUMERIC
@ATTRIBUTE avg_token_len NUMERIC
@ATTRIBUTE n_sentences NUMERIC
@ATTRIBUTE tclass {0, 4}

@DATA 
1,3,1,1,0,0,1,0,0,0,0,10,0,0,0,0,0,13.0,4.13636363636,2,0
3,0,0,1,1,0,1,0,0,0,0,6,0,7,0,0,0,15.0,3.66666666667,2,0
3,0,0,1,0,0,2,0,0,0,0,7,1,1,0,0,3,6.75,4.85714285714,4,0
1,0,1,1,1,1,1,0,0,0,0,2,3,3,1,0,0,9.0,4.5,3,0
4,0,2,0,3,0,3,0,0,0,0,6,1,1,0,0,0,14.5,3.83333333333,2,0
1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.07142857143,2,0
3,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,2,8.5,3.88235294118,2,0
2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7.0,2.85714285714,1,0
2,0,1,1,0,0,0,0,0,0,0,7,0,1,1,0,3,5.4,4.13043478261,5,0
3,2,0,0,0,0,0,0,0,0,1,4,0,2,0,0,1,10.5,4.1,2,0
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,9.0,3.22222222222,1,0
2,2,0,1,0,0,0,0,0,0,1,7,2,3,0,0,1,7.5,3.66666666667,4,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.0,3.0,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,23.0,3.72727272727,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.0,6.83333333333,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,8.0,5.0,1,0
1,2,0,0,1,0,0,0,0,2,0,11,0,0,0,0,2,23.0,4.82608695652,1,0
0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,13.0,5.5,1,0
1,0,0,0,0,0,2,0,0,0,1,6,0,4,0,0,1,27.0,4.24,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10.0,4.11111111111,1,0
1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,12.0,4.25,1,0
1,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,14.0,3.30769230769,1,0
3,0,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,22.0,3.95454545455,1,0
0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,4.0,4.57142857143,2,0
0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,9.0,4.33333333333,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,3.57142857143,1,0
0,0,0,0,1,0,0,8,0,0,0,5,0,0,1,0,3,8.0,14.875,1,0
3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,15.0,3.6,1,0
0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4.5,3.625,2,0
2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,20.0,3.35,1,0
0,0,0,0,0,0,2,1,0,0,0,4,0,1,0,0,1,16.0,4.23076923077,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,5.75,1,0
1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,13.0,4.33333333333,1,0
0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,9.0,4.29411764706,2,0
1,0,1,1,0,0,1,0,0,0,0,6,0,2,0,0,0,18.0,4.11764705882,1,0
1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,12.0,4.63636363636,1,0
0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,0,1,6.0,3.08333333333,2,0
2,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,1,9.0,3.9375,2,0
0,0,0,2,1,0,1,0,0,0,1,9,0,1,0,0,2,9.0,4.08,3,0
3,0,1,1,2,0,2,0,0,2,0,2,0,3,0,0,1,12.5,4.09090909091,2,0
3,1,3,1,3,0,0,0,0,0,0,3,0,3,0,0,0,29.0,3.82142857143,1,0
2,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,1,6.5,2.92307692308,2,0
1,2,0,1,1,0,0,0,0,0,0,9,0,3,0,0,4,5.8,4.375,5,0
1,1,0,0,0,1,2,0,0,0,0,5,3,1,0,0,0,9.66666666667,3.88,3,0
1,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,4.66666666667,4.16666666667,3,0
1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,13.0,4.08333333333,1,0
0,0,0,1,2,0,0,0,0,0,0,5,0,2,0,0,1,9.5,4.47058823529,2,0
1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16.0,4.3125,1,0
1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,1,4.66666666667,4.83333333333,3,0
1,0,1,0,1,0,1,0,0,0,0,3,0,2,0,0,0,18.0,3.5,1,0
0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,5.16666666667,1,0
1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,10.0,4.3,1,0
1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,5.5,3.77777777778,2,0
0,0,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,15.0,4.84615384615,1,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,4.625,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.75,1,0
2,1,1,0,1,0,0,1,1,0,0,9,0,4,0,0,0,31.0,3.5,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,4.22222222222,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,4.0,2.66666666667,2,0
0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,5.66666666667,4.3125,3,0
1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,6.5,4.08333333333,2,0
1,0,0,1,0,0,1,0,1,0,0,7,0,7,0,0,2,26.0,4.73913043478,1,0
2,0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,1,11.0,4.45,2,0
0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,13.0,5.58333333333,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,5.0,1,0
4,1,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,10.3333333333,3.62068965517,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.66666666667,1,0
0,1,1,1,1,0,0,0,0,0,0,4,0,2,0,0,0,8.5,4.6875,2,0
2,0,0,0,0,0,1,2,0,0,0,10,0,0,0,0,0,9.66666666667,4.0,3,0
3,0,1,0,0,0,0,0,0,0,0,7,0,4,0,0,0,21.0,3.61904761905,1,0
3,0,2,2,2,0,2,1,0,0,2,6,1,3,1,0,5,10.6666666667,3.43333333333,3,0
1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,16.0,4.4375,1,0
3,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,1,7.66666666667,4.33333333333,3,0
0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3.66666666667,4.5,3,0
1,1,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1,6.5,4.75,2,0
4,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,1,9.0,2.5,2,0
0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,4.57142857143,1,0
1,1,1,0,0,1,0,0,0,0,0,3,0,1,1,0,0,13.0,3.15384615385,1,0
0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,1,17.0,4.35294117647,1,0
0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,5.66666666667,3.78571428571,3,0
1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,13.0,4.0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,6.5,4.18181818182,2,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,10.0,4.4,1,0
1,1,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,20.0,4.31578947368,1,0
3,0,0,1,0,0,0,0,0,0,6,4,0,1,0,0,3,23.0,5.08695652174,1,0
0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,4.0,3.84615384615,4,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,5.8,1,0
0,1,0,1,0,0,0,0,0,0,0,5,1,2,0,0,1,5.33333333333,4.64285714286,3,0
1,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,1,11.0,4.0,1,0
2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,10.0,4.2,1,0
2,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,1,7.0,4.21428571429,2,0
3,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,11.0,3.36363636364,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,4.66666666667,1,0
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.0,3.91666666667,1,0
0,0,1,1,2,0,0,0,1,0,0,3,0,2,0,0,0,10.0,4.11111111111,2,0
1,2,0,1,0,0,0,0,0,0,0,3,3,0,0,0,1,8.5,3.875,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4.5,5.57142857143,2,0
2,0,2,2,1,0,0,0,0,0,1,5,0,2,1,0,1,11.0,4.13636363636,2,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,3.88888888889,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,4.0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,1,0
0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,6.0,3.83333333333,1,0
0,1,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,12.0,4.08333333333,1,0
2,0,0,0,0,0,0,2,0,0,1,10,0,2,0,0,1,9.66666666667,4.34615384615,3,0
1,0,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,8.66666666667,4.625,3,0
0,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,7.0,4.46153846154,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,1,0
2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9.0,3.88888888889,1,0
2,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,6.66666666667,4.0,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,3.6,1,0
0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,1,11.0,5.0,1,0
0,0,0,0,0,0,0,2,0,0,1,2,1,1,0,0,0,12.0,6.63636363636,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,6,12.0,2.58333333333,1,0
2,0,0,2,1,0,2,0,1,0,2,6,0,2,0,0,3,7.0,4.05555555556,3,0
2,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,13.0,4.07692307692,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6.5,3.63636363636,2,0
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,4.5,1,0
2,1,1,2,1,0,0,0,0,0,0,4,0,2,0,0,0,18.0,3.88888888889,1,0
5,0,0,2,0,0,0,0,0,0,0,4,1,2,2,0,0,10.0,3.96296296296,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,5.4,1,0
0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4.0,2.875,3,0
1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,11.0,3.44444444444,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.66666666667,1,0
1,0,0,2,1,0,1,0,0,0,0,3,1,1,0,0,0,12.0,4.0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,8.5,1,0
1,0,2,2,0,0,1,0,0,0,0,3,0,1,0,0,0,10.5,4.36842105263,2,0
3,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,21.0,4.0,1,0
4,0,0,1,1,0,0,0,0,0,3,3,1,1,1,0,0,25.0,3.72,1,0
4,0,0,0,0,0,0,0,0,0,0,6,0,4,1,0,4,7.25,3.38461538462,4,0
1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,8.0,6.85714285714,1,0
2,1,2,1,1,0,1,0,0,0,0,4,0,2,0,0,5,9.5,3.83333333333,2,0
2,1,1,0,2,0,1,0,0,0,0,13,0,1,0,0,1,9.0,4.04,3,0
1,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,1,5.0,4.92307692308,3,0
2,0,0,4,0,0,1,0,0,0,0,2,0,2,0,0,0,26.0,3.875,1,0
2,0,0,1,1,0,3,0,0,0,1,8,0,1,0,0,2,16.0,3.64285714286,2,0
1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,13.0,3.5,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5.0,2.8,1,0
2,0,0,2,0,0,0,1,1,0,0,5,0,0,0,0,0,12.0,5.0,1,0
1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6.0,5.66666666667,1,0
1,0,0,1,0,0,1,1,0,0,0,9,0,0,0,0,0,8.5,5.53333333333,2,0
1,0,0,2,0,0,0,0,0,0,0,9,0,3,0,0,6,7.0,4.28,4,0
0,0,0,1,0,0,0,0,0,0,1,2,0,3,1,0,2,5.0,4.1,2,0
4,1,1,0,0,1,0,0,0,0,0,8,0,2,0,0,0,31.0,3.56666666667,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13.0,3.15384615385,1,0
3,0,0,2,1,0,0,0,0,0,1,5,1,0,1,0,1,24.0,3.91666666667,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,4.0,1,0
1,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,1,13.5,4.22727272727,2,0
1,0,1,1,0,1,0,0,0,0,0,4,0,1,0,0,1,8.5,4.13333333333,2,0
2,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,6.33333333333,4.05882352941,3,0
3,0,1,0,0,0,0,1,0,0,0,6,0,2,0,0,0,9.66666666667,3.88,3,0
2,0,2,0,4,0,0,0,0,0,0,9,0,2,0,0,2,6.0,4.0,5,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3.0,7.66666666667,1,0
2,0,0,2,0,0,1,0,0,0,0,5,0,3,0,0,0,12.5,4.4347826087,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.75,1,0
4,3,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,21.0,3.66666666667,1,0
1,0,1,0,1,0,0,0,0,0,1,3,0,2,0,0,1,15.0,3.66666666667,1,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4.0,4.66666666667,1,0
1,2,2,0,2,0,0,1,0,0,0,8,0,0,0,0,0,10.0,4.14814814815,3,0
0,0,0,0,1,0,0,0,0,0,3,6,1,3,0,0,3,7.66666666667,3.91304347826,3,0
1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5.0,3.8,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,4.5,1,0
3,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,1,6.66666666667,4.23529411765,3,0
1,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,2,21.0,3.94736842105,1,0
2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,12.0,5.25,1,0
2,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,18.0,3.23529411765,1,0
3,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,11.0,3.57894736842,2,0
2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7.0,2.71428571429,1,0
2,0,2,0,0,0,0,0,0,0,0,6,0,3,0,0,0,14.0,4.11538461538,2,0
1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,8.5,3.66666666667,2,0
2,0,3,0,3,0,1,0,0,0,1,7,0,2,0,0,4,13.5,3.88461538462,2,0
3,0,0,0,3,0,2,0,0,0,1,9,0,5,0,0,0,27.0,4.30769230769,1,0
0,0,0,2,0,0,0,1,0,2,1,5,0,3,0,0,3,4.5,5.0,4,0
2,0,0,1,0,0,0,0,0,0,1,4,0,3,0,0,1,8.0,3.75,2,0
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,11.0,3.36363636364,1,0
1,0,0,0,1,1,2,1,0,0,0,6,0,1,0,0,3,11.0,4.0,2,0
1,0,1,0,1,0,1,0,0,0,0,3,2,0,0,0,0,13.0,4.33333333333,1,0
2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,10.0,4.0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.66666666667,2,0
0,0,1,2,0,0,1,0,0,0,0,7,0,2,0,0,2,11.5,3.85714285714,2,0
1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,6.0,1,0
0,0,2,0,0,0,0,0,0,0,0,4,1,2,0,0,0,9.33333333333,4.52,3,0
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,5.5,5.2,2,0
2,0,0,0,1,0,1,1,0,0,0,4,2,0,0,0,2,12.0,3.8,1,0
1,0,0,1,2,0,0,0,0,0,0,5,0,4,0,0,0,24.0,4.0,1,0
0,0,0,0,0,0,1,0,1,0,0,5,2,1,1,0,0,11.5,5.42857142857,2,0
1,0,0,0,0,0,0,1,0,0,2,3,1,3,0,0,3,5.33333333333,3.46666666667,3,0
2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,9.0,2.44444444444,1,0
0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,3,11.0,3.22222222222,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.25,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.0,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.71428571429,1,0
2,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,16.0,3.0,1,0
3,0,0,1,0,0,1,0,0,0,0,3,2,3,0,0,2,15.0,3.60714285714,2,0
3,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,0,14.0,4.26923076923,2,0
1,1,0,1,1,0,0,0,0,0,0,3,0,1,0,0,1,6.5,4.92307692308,2,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,6.0,1,0
2,0,2,0,1,0,0,0,0,0,0,6,0,2,1,0,0,19.0,5.05555555556,1,0
1,0,0,2,4,0,0,0,0,0,0,5,1,2,0,0,0,7.66666666667,4.55,3,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.66666666667,1,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,7.0,5.5,1,0
3,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,19.0,3.27777777778,1,0
1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,5.57142857143,1,0
0,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,1,8.0,4.75,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.33333333333,4.4,3,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,6.33333333333,1,0
3,0,1,0,0,0,1,0,1,0,0,7,0,1,0,0,2,10.0,4.94736842105,2,0
1,1,1,1,0,0,3,0,0,0,0,5,0,1,0,0,0,10.0,4.625,2,0
2,0,0,3,3,0,0,0,0,0,1,6,0,0,0,0,1,11.0,3.54545454545,2,0
2,0,3,0,2,1,2,1,0,0,1,7,0,2,1,0,1,13.5,3.86956521739,2,0
1,0,0,0,0,0,2,0,0,0,0,6,0,3,0,0,0,13.0,4.86363636364,2,0
1,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0,1,5.5,4.09090909091,2,0
6,0,2,3,4,0,0,0,0,0,0,3,0,2,0,0,0,15.0,3.31034482759,2,0
0,0,0,1,1,0,2,0,0,0,0,6,0,1,0,0,0,15.0,3.84615384615,1,0
0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,7.0,7.0,1,0
2,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,1,10.0,5.0,2,0
